no,pixel,real
1,435,50
2,436,50
3,426,50
4,427,50
5,433,50
6,425,50
7,410,50
8,424,50
9,434,50
10,433,50
11,434,50
12,438,50
13,440,50
14,441,50
15,273,95
16,275,95
17,274,95
18,272,95
19,273,95
20,274,95
21,270,95
22,274,95
23,274,95
24,278,95
25,275,95
26,278,95
27,275,95
28,275,95
29,243,114
30,245,114
31,247,114
32,247,114
33,246,114
34,248,114
35,248,114
36,246,114
37,245,114
38,250,114
39,248,114
40,250,114
41,250,114
42,250,114
43,229,114
44,227,114
45,223,114
46,219,114
47,216,114
48,219,114
49,213,114
50,222,114
51,224,114
52,218,114
53,219,114
54,226,114
55,229,114
56,222,114
57,222,114
58,224,114
59,225,114
60,223,114
61,221,114
62,220,114
63,223,114
64,219,114
65,225,114
66,221,114
67,217,114
68,215,114
69,224,114
70,221,114
71,252,126
72,256,126
73,252,126
74,253,126
75,254,126
76,255,126
77,258,126
78,260,126
79,263,126
80,260,126
81,264,126
82,260,126
83,254,126
84,251,126
85,257,126
86,262,126
87,258,126
88,259,126
89,265,126
90,271,126
91,80,160
92,78,160
93,80,160
94,85,160
95,82,160
96,85,160
97,82,160
98,88,160
99,85,160
100,81,160
101,87,160
102,86,160
103,79,160
104,85,160
105,90,160
106,87,160
107,89,160
108,90,160
109,92,160
110,89,160
111,88,160
112,85,160
113,85,160
114,84,160
115,88,160
116,93,160
117,85,160
118,78,160
119,82,160
120,84,160
121,83,160
122,88,160
123,81,160
124,84,160
125,82,160
126,84,160
